id|text|experiencer|emotion|cause|selected
8456A|I felt ... when an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had. The lady hid when anyone came round.|we|sadness|an impoverished family we know well hid the fact that they were expecting a baby|True
8456A|I felt ... when an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had. The lady hid when anyone came round.|an impoverished family we know well|joy|they were expecting a baby|True
8456C|I felt ... when an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had. The lady hid when anyone came round.|we|surprise|an impoverished family we know well hid the fact that they were expecting a baby|True
8456D|I felt ... when an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had. The lady hid when anyone came round.|an impoverished family we know well|fear|an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had|True
8456D|I felt ... when an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had. The lady hid when anyone came round.|WRITER|sadness|an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had|True
8303C|I felt ... when I took my Dad's scissors from his drawer when I was not supposed to.|my Dad|anger|I took my Dad's scissors|True
8303D|I felt ... when I took my Dad's scissors from his drawer when I was not supposed to.|my Dad|anger|I took my Dad's scissors from his drawer when I was not supposed to|True
8410A|I feel...when work colleagues are not helpful in assisting with task at hand.|WRITER|sadness|when work colleagues are not helpful|True
8410B|I feel...when work colleagues are not helpful in assisting with task at hand.|WRITER|anger|work colleagues are not helpful in assisting with task at hand|True
8410C|I feel...when work colleagues are not helpful in assisting with task at hand.|WRITER|surprise|work colleagues are not helpful|True
8410D|I feel...when work colleagues are not helpful in assisting with task at hand.|WRITER|anger|when work colleagues are not helpful in assisting with task at hand|True
8256A|I felt ... when I watched a sad movie.|WRITER|sadness|I watched a sad movie|True
8256B|I felt ... when I watched a sad movie.|WRITER|sadness|I watched a sad movie|True
8256C|I felt ... when I watched a sad movie.|WRITER|sadness|I watched a sad movie.|True
8256D|I felt ... when I watched a sad movie.|WRITER|sadness|I watched a sad movie|True
7591A|I felt ... because I finished with a boyfriend who hadn't done anything wrong.|WRITER|sadness|I finished with a boyfriend who hadn't done anything wrong|True
7591A|I felt ... because I finished with a boyfriend who hadn't done anything wrong.|a boyfriend|sadness|I finished with a boyfriend who hadn't done anything wrong|True
7591B|I felt ... because I finished with a boyfriend who hadn't done anything wrong.|a boyfriend|sadness|I finished with a boyfriend who hadn't done anything wrong|True
7591C|I felt ... because I finished with a boyfriend who hadn't done anything wrong.|a boyfriend who hadn't done anything wrong|sadness|I finished with a boyfriend who hadn't done anything wrong.|True
7591D|I felt ... because I finished with a boyfriend who hadn't done anything wrong.|a boyfriend|sadness|I finished with a boyfriend who hadn't done anything wrong|True
8362A|I felt ... of cycling to the local nature reserve for a photo and getting perfect weather conditions for it when I arrived there.|WRITER|joy|getting perfect weather conditions|True
8362B|I felt ... of cycling to the local nature reserve for a photo and getting perfect weather conditions for it when I arrived there.|WRITER|joy|getting perfect weather conditions|True
8362C|I felt ... of cycling to the local nature reserve for a photo and getting perfect weather conditions for it when I arrived there.|WRITER|joy|cycling to the local nature reserve for a photo|True
8362D|I felt ... of cycling to the local nature reserve for a photo and getting perfect weather conditions for it when I arrived there.|WRITER|joy|cycling to the local nature reserve for a photo and getting perfect weather conditions for it|True
8374A|I feel ... when my children tell me they love me.|WRITER|joy|my children tell me they love me|True
8374A|I feel ... when my children tell me they love me.|my children|joy|my children tell me they love me|True
8374B|I feel ... when my children tell me they love me.|WRITER|joy|my children tell me they love me|True
8374C|I feel ... when my children tell me they love me.|my children|joy|my children tell me they love me.|True
8374C|I feel ... when my children tell me they love me.|WRITER|joy|my children tell me they love me.|True
8374D|I feel ... when my children tell me they love me.|WRITER|joy|my children tell me they love me|True
8374D|I feel ... when my children tell me they love me.|my children|joy|my children tell me they love me|True
7918A|I felt ... when I told my boyfriend his favourite programme wasn’t on the telly because he watches it all the time and I wanted to watch something else.|my boyfriend|sadness|I told my boyfriend his favourite programme wasn’t on the telly|True
7918C|I felt ... when I told my boyfriend his favourite programme wasn’t on the telly because he watches it all the time and I wanted to watch something else.|WRITER|joy|I told my boyfriend his favourite programme wasn’t on the telly|True
7918D|I felt ... when I told my boyfriend his favourite programme wasn’t on the telly because he watches it all the time and I wanted to watch something else.|my boyfriend|sadness|I told my boyfriend his favourite programme wasn’t on the telly because he watches it all the time and I wanted to watch something else|True
7677A|I felt ... when my grandmother died as she was the only one who understood me.|WRITER|sadness|my grandmother died|True
7677B|I felt ... when my grandmother died as she was the only one who understood me.|WRITER|sadness|my grandmother died as she was the only one who understood me|True
7677C|I felt ... when my grandmother died as she was the only one who understood me.|WRITER|sadness|my grandmother died|True
7677D|I felt ... when my grandmother died as she was the only one who understood me.|WRITER|sadness|my grandmother died|True
8090A|I felt ... when my now husband proposed to me.|my now husband|joy|my now husband proposed to me|True
8090A|I felt ... when my now husband proposed to me.|WRITER|joy|my now husband proposed to me|True
8090B|I felt ... when my now husband proposed to me.|WRITER|joy|my now husband proposed to me|True
8090C|I felt ... when my now husband proposed to me.|WRITER|joy|my now husband proposed to me.|True
8090D|I felt ... when my now husband proposed to me.|my now husband|joy|my now husband proposed to me|True
8090D|I felt ... when my now husband proposed to me.|WRITER|joy|my now husband proposed to me|True
8381A|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|a seller|anger|a seller left me totally unjustified negative feedback on eBay|True
8381A|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|WRITER|sadness|a seller left me totally unjustified negative feedback on eBay|True
8381B|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|WRITER|anger|a seller left me totally unjustified negative feedback|True
8381B|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|a seller|anger|a seller left me totally unjustified negative feedback|True
8381C|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|WRITER|anger|a seller left me totally unjustified negative feedback on eBay|True
8381C|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|a seller|anger|a seller left me totally unjustified negative feedback on eBay|True
8381D|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|a seller|anger|a seller left me totally unjustified negative feedback on eBay|True
8381D|I felt...when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.|WRITER|anger|a seller left me totally unjustified negative feedback on eBay|True
7482A|I felt ... when my mom offered me curry.|WRITER|joy|my mom offered me curry|True
7482A|I felt ... when my mom offered me curry.|my mom|joy|my mom offered me curry|True
7482B|I felt ... when my mom offered me curry.|WRITER|joy|my mom offered me curry|True
7482C|I felt ... when my mom offered me curry.|my mom|joy|my mom offered me curry.|True
7482D|I felt ... when my mom offered me curry.|my mom|joy|my mom offered me curry|True
7482D|I felt ... when my mom offered me curry.|WRITER|joy|my mom offered me curry|True
8440A|I felt ... when I saw bees coming back to my garden after few years of absence.|WRITER|surprise|I saw bees coming back to my garden after few years of absence|True
8440B|I felt ... when I saw bees coming back to my garden after few years of absence.|WRITER|joy|bees coming back to my garden after few years of absence|True
8440C|I felt ... when I saw bees coming back to my garden after few years of absence.|WRITER|joy|I saw bees coming back to my garden|True
8440D|I felt ... when I saw bees coming back to my garden after few years of absence.|WRITER|sadness|I saw bees coming back to my garden after few years of absence|True
8121A|I felt ... when watched the new Mary Poppins movie and one of the songs made me think of my dead mum|WRITER|sadness|one of the songs made me think of my dead mum|True
8121B|I felt ... when watched the new Mary Poppins movie and one of the songs made me think of my dead mum|WRITER|sadness|the new Mary Poppins movie and one of the songs made me think of my dead mum|True
8121C|I felt ... when watched the new Mary Poppins movie and one of the songs made me think of my dead mum|WRITER|sadness|one of the songs made me think of my dead mum|True
8121D|I felt ... when watched the new Mary Poppins movie and one of the songs made me think of my dead mum|WRITER|sadness|one of the songs made me think of my dead mum|True
8445A|I feel ... when I read about orangutans and palm oil.|WRITER|surprise|I read about orangutans and palm oil|True
8445B|I feel ... when I read about orangutans and palm oil.|WRITER|sadness|I read about orangutans and palm oil|True
8445C|I feel ... when I read about orangutans and palm oil.|WRITER|sadness|I read about orangutans and palm oil.|True
8445D|I feel ... when I read about orangutans and palm oil.|WRITER|anger|I read about orangutans and palm oil|True
7892A|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|WRITER|sadness|a man I thought of as my grandpa passed away|True
7892A|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|his wife|sadness|a man I thought of as my grandpa passed away|True
7892B|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|WRITER|sadness|a man I thought of as my grandpa passed away|True
7892C|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|his wife|sadness|a man I thought of as my grandpa passed away,|True
7892C|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|WRITER|sadness|a man I thought of as my grandpa passed away,|True
7892D|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|his wife|sadness|a man I thought of as my grandpa passed away|True
7892D|I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.|WRITER|sadness|a man I thought of as my grandpa passed away|True
8465C|I felt ... because I fell over in public.|WRITER|surprise|I fell over|True
7832A|I felt ... because I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere.|WRITER|fear|there was a a menacing atmosphere|True
7832B|I felt ... because I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere.|WRITER|fear|I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere|True
7832C|I felt ... because I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere.|WRITER|fear|I was delivering leaflets|True
7832D|I felt ... because I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere.|WRITER|fear|I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere|True
7621A|I felt ... when my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her, other than try to provide something inadequate.|my ex-wife|sadness|my ex-wife was going through a very hard time|True
7621A|I felt ... when my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her, other than try to provide something inadequate.|WRITER|sadness|I was unable to help her|True
7621B|I felt ... when my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her, other than try to provide something inadequate.|my ex-wife|sadness|I was unable to help her, other than try to provide something inadequate.|True
7621D|I felt ... when my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her, other than try to provide something inadequate.|my ex-wife|anger|my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her|True
7621D|I felt ... when my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her, other than try to provide something inadequate.|WRITER|sadness|my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her|True
8137A|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|my daughter|disgust|there was an outbreak of head lice in my daughter's class|True
8137A|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|One kid in the class|disgust|there was an outbreak of head lice in my daughter's class|True
8137A|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|WRITER|anger|One kid in the class wasn't checked as her mother had tv to catch it on that night|True
8137B|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|WRITER|anger|I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night.|True
8137C|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|WRITER|anger|One kid in the class wasn't checked as her mother had tv to catch it on that night.|True
8137D|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|daughter|fear|there was an outbreak of head lice in my daughter's class|True
8137D|I felt...when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.|One kid|fear|One kid in the class wasn't checked as her mother had tv to catch it on that night|True
7553A|I felt ... when I was being bullied at work and didn't think there was going to be an end to it.|WRITER|sadness|I was being bullied at work|True
7553B|I felt ... when I was being bullied at work and didn't think there was going to be an end to it.|WRITER|sadness|I was being bullied at work|True
7553C|I felt ... when I was being bullied at work and didn't think there was going to be an end to it.|WRITER|sadness|I was being bullied at work|True
7553D|I felt ... when I was being bullied at work and didn't think there was going to be an end to it.|WRITER|fear|I was being bullied at work and didn't think there was going to be an end to it|True
8131A|I felt ... because I was a bit late to lead a children's group and it meant someone else was worried.|someone else|fear|I was a bit late to lead a children's group|True
8131C|I felt ... because I was a bit late to lead a children's group and it meant someone else was worried.|someone else|fear|I was a bit late to lead a children's group|True
8131D|I felt ... because I was a bit late to lead a children's group and it meant someone else was worried.|someone|sadness|I was a bit late to lead a children's group and it meant someone else was worried|True
29858A|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|WRITER|fear|I let my brother drive it even though he isn't a good driver|True
29858A|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|my brother|joy|I let my brother drive it even though he isn't a good driver|True
29858B|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|WRITER|fear|I let my brother drive it even though he isn't a good driver|True
29858B|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|my brother|joy|I let my brother drive it even though he isn't a good driver|True
29858C|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|my brother|joy|I let my brother drive it even though he isn't a good driver.|True
29858C|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|WRITER|fear|I let my brother drive it even though he isn't a good driver.|True
29858D|I just bough a brand new car. I let my brother drive it even though he isn't a good driver.|my brother|joy|I let my brother drive it even though he isn't a good driver|True
7600A|I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.|a friend|surprise|I pounced on a friend and started kissing them|True
7600B|I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.|a friend|joy|I pounced on a friend and started kissing them|True
7600B|I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.|WRITER|joy|I pounced on a friend and started kissing them|True
7600C|I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.|a friend|surprise|I pounced on a friend and started kissing them.|True
7600D|I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.|a friend|joy|I pounced on a friend and started kissing them|True
7600D|I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.|WRITER|joy|They kissed me back even harder|True
7901A|I feel...because life is an unknown, and it's not knowing in life that brings me fear. It's...sometimes. I feel it everyday.|WRITER|fear|it's not knowing in life that brings me fear|True
7901B|I feel...because life is an unknown, and it's not knowing in life that brings me fear. It's...sometimes. I feel it everyday.|WRITER|fear|life is an unknown, and it's not knowing in life that brings me fear|True
7901C|I feel...because life is an unknown, and it's not knowing in life that brings me fear. It's...sometimes. I feel it everyday.|WRITER|fear|life is an unknown,|True
7901D|I feel...because life is an unknown, and it's not knowing in life that brings me fear. It's...sometimes. I feel it everyday.|WRITER|fear|life is an unknown, and it's not knowing in life that brings me fear|True
8012A|I felt a lot of...that my mother wouldn't know that I was smoking with my friends.|WRITER|joy|my mother wouldn't know that I was smoking with my friends|True
8012A|I felt a lot of...that my mother wouldn't know that I was smoking with my friends.|my friends|joy|I was smoking with my friends|True
8012D|I felt a lot of...that my mother wouldn't know that I was smoking with my friends.|my friends|joy|I was smoking with my friends|True
7574A|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|WRITER|sadness|it had changed out of all recognition|True
7574B|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|my parents|surprise|visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably|True
7574B|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|WRITER|surprise|visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably|True
7574C|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|WRITER|joy|visiting a house that I grew up in|True
7574C|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|my parents|joy|visiting a house that I grew up in|True
7574D|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|my parents|joy|visiting a house that I grew up in and my parents built|True
7574D|I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.|WRITER|joy|visiting a house that I grew up in and my parents built|True
8373A|I felt ... because our family dog died. She was a big part of my teenage years and I was ... that she died.|WRITER|sadness|our family dog died|True
8373B|I felt ... because our family dog died. She was a big part of my teenage years and I was ... that she died.|WRITER|sadness|our family dog died|True
8373C|I felt ... because our family dog died. She was a big part of my teenage years and I was ... that she died.|WRITER|sadness|our family dog died.|True
8373D|I felt ... because our family dog died. She was a big part of my teenage years and I was ... that she died.|WRITER|sadness|our family dog died|True
7989A|I felt...when I thought I had lost my purse in town.|WRITER|sadness|I thought I had lost my purse|True
7989B|I felt...when I thought I had lost my purse in town.|WRITER|fear|I thought I had lost my purse in town|True
7989C|I felt...when I thought I had lost my purse in town.|WRITER|fear|I thought I had lost my purse in town.|True
7989D|I felt...when I thought I had lost my purse in town.|W|fear|I thought I had lost my purse in town|True
8448A|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|WRITER|sadness|I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food|True
8448A|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|the little girl on the radio|sadness|her family couldn't afford any food|True
8448A|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|her family|sadness|her family couldn't afford any food|True
8448B|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|WRITER|sadness|I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food|True
8448C|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|WRITER|sadness|I heard the story about the little girl on the radio who asked a charity for a job|True
8448D|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|WRITER|sadness|I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food|True
8448D|I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|her family|sadness|I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food|True
8284A|I felt ... because Britain voted to leave the EU.|WRITER|surprise|Britain voted to leave the EU|True
8284B|I felt ... because Britain voted to leave the EU.|WRITER|anger|Britain voted to leave the EU|True
8284C|I felt ... because Britain voted to leave the EU.|WRITER|surprise|Britain voted to leave the EU.|True
8284D|I felt ... because Britain voted to leave the EU.|WRITER|anger|Britain voted to leave the EU|True
